"Verb","abandon","r",3
"Conjunction","and",r,1
"Noun","apple","r",2
"Preposition","around","r",2
"Verb","beg","r",1
"Noun","beggar","beg",2
"Verb","begged","beg",1
"Noun","cart","r",1
"Verb","cart","cart",1
"Verb","carted","cart",2
"Noun","dirt","r",1
"Adjective","dirty","dirt",2
"Adjective","flat","r",1
"Adverb","flatly","flat",1
"Verb","flatten","flat",1
"Adjective","flatter","flat",2
"Verb","flatter","r",2
"Verb","flattering","flatter",3
"Noun","flattering","flatter",3
"Adjective","flattering","flatter",3
"Pronoun","he","r",1
"Interjection","oh","r",1
"Article","the","r",1
